WPID,gene_id,edge_id
WP3287,896,36350
WP2882,1962,36351
WP2882,10057,36352
WP3640,1647,36353
WP2882,5052,36354
WP5180,57521,24388
WP5180,7157,24387
WP5293,207,24389
WP5293,8900,24380
WP5180,1019,24382
WP531,5983,24381
WP5095,3586,24384
WP5095,3569,24383
WP5293,597,24386
WP5293,4609,24385
WP2882,9588,36355
WP2882,200010,36356
WP3640,9429,36357
WP3657,1788,36358
WP2882,1958,36359
WP5381,4289,12370
WP5381,29109,12373
WP2882,2936,36340
WP5381,23026,12374
WP3640,4066,36341
WP5381,1073,12371
WP3674,2737,36342
WP4584,80324,12372
WP2882,22949,36343
WP5095,3458,24355
WP531,5985,24354
WP5095,3605,24357
WP5294,2597,24356
WP5095,7422,24359
WP5095,112744,24358
WP5095,51561,24351
WP5293,595,24350
WP5180,1027,24353
WP5180,2735,24352
WP4872,6093,12377
WP2882,6532,36344
WP4925,7494,12378
WP2882,218,36345
WP170,190,12375
WP2882,6649,36346
WP111,93974,12376
WP2882,56606,36347
WP2882,5467,36348
WP2882,7922,36349
WP5053,2737,12379
WP1589,4548,12380
WP4925,22926,12381
WP5117,114799,38990
WP5381,10400,12384
WP4950,79874,38992
WP4925,1965,12385
WP2882,2512,36330
WP5117,157570,38991
WP4872,6662,12382
WP3657,1789,36331
WP3878,119864597,38994
WP5053,6608,12383
WP2882,645,36332
WP3878,84823,38993
WP5293,10000,24366
WP5293,6654,24365
WP5293,8503,24368
WP5294,10000,24367
WP531,6118,24369
WP5095,3593,24360
WP5095,3567,24362
WP5095,3565,24361
WP531,56655,24364
WP5095,6364,24363
WP5381,6470,12388
WP2882,3589,36333
WP3878,100093068,38996
WP4925,2081,12389
WP2882,2953,36334
WP3878,485070,38995
WP5053,9353,12386
WP2882,2678,36335
WP3878,607023,38998
WP4925,1649,12387
WP2882,6523,36336
WP3878,100620983,38997
WP2882,6527,36337
WP2882,6530,36338
WP3878,6300,38999
WP2882,23516,36339
WP5381,374986,12351
WP496,3284,38981
WP4584,30833,12352
WP496,3283,38980
WP2882,6534,36320
WP496,3294,38983
WP5381,150737,12350
WP2882,2730,36321
WP496,3293,38982
WP5293,6655,24333
WP5304,29881,26996
WP531,5427,24332
WP5112,6400,26997
WP5180,7249,24335
WP619,5698,26994
WP5095,4318,24334
WP619,9636,26995
WP5293,208,24337
WP5293,3551,24336
WP5095,7040,24339
WP5112,64788,26998
WP5294,208,24338
WP5304,345,26999
WP619,3627,26992
WP619,4843,26993
WP5294,2932,24331
WP619,3459,26990
WP5180,2932,24330
WP619,3460,26991
WP5381,116442,12355
WP2882,55334,36322
WP4950,975,38985
WP5381,115811,12356
WP2882,2042,36323
WP496,51478,38984
WP5381,96459,12353
WP2882,28968,36324
WP5144,406933,38987
WP5381,94274,12354
WP2882,4199,36325
WP4950,930,38986
WP5381,222894,12359
WP2882,7049,36326
WP5144,6615,38989
WP2882,55117,36327
WP496,3292,38988
WP5381,203228,12357
WP2882,2950,36328
WP5381,92749,12358
WP2882,4258,36329
WP4584,51251,12362
WP5284,2833,38970
WP5381,80232,12363
WP5381,10048,12360
WP4950,5350,38972
WP5381,84223,12361
WP2533,5294,36310
WP4950,487,38971
WP5293,6198,24344
WP5095,6387,24343
WP5293,4790,24346
WP5095,6347,24345
WP5294,10891,24348
WP5095,3558,24347
WP5180,595,24349
WP2882,6540,36319
WP5293,5296,24340
WP531,5425,24342
WP531,6119,24341
WP5381,55255,12366
WP2533,57678,36311
WP3878,79840,38974
WP5381,56912,12367
WP2882,4257,36312
WP1995,3039,38973
WP5381,64792,12364
WP2882,5360,36313
WP3878,110255182,38976
WP5381,64795,12365
WP2882,6594,36314
WP3878,100056056,38975
WP2882,7363,36315
WP3878,100084470,38978
WP2879,7363,36316
WP3878,5591,38977
WP5381,57600,12368
WP2338,57510,36317
WP4584,51733,12369
WP3640,200734,36318
WP3878,100156379,38979
WP5299,6484,24319
WP5299,8705,24318
WP5366,8354,14992
WP4584,7084,12330
WP5366,8353,14991
WP5366,8352,14990
WP4228,249,38961
WP3971,249,38960
WP5095,414062,24311
WP619,2537,26974
WP5095,414062,24310
WP619,3383,26975
WP4874,1131,24313
WP5304,336,26972
WP5095,414062,24312
WP5304,8694,26973
WP5155,5742,24315
WP5171,1666,26978
WP4883,1636,24314
WP5304,8647,26979
WP4874,7466,24317
WP619,4283,26976
WP4883,5972,24316
WP619,5580,26977
WP2533,5290,36308
WP2533,5291,36309
WP4584,1807,12339
WP5304,51128,26970
WP5112,336,26971
WP5381,7942,12333
WP5366,8358,14996
WP2332,6772,36300
WP5117,25836,38963
WP4584,1890,12334
WP5366,8357,14995
WP2332,6774,36301
WP5284,1493,38962
WP5381,8562,12331
WP5366,8356,14994
WP2332,7040,36302
WP4228,501,38965
WP5381,26959,12332
WP5366,8355,14993
WP2332,7297,36303
WP5119,25836,38964
WP5381,54329,12337
WP2332,860,36304
WP2814,8061,38967
WP5381,3705,12338
WP5366,8351,14999
WP2879,8660,36305
WP4950,6588,38966
WP4584,6240,12335
WP5366,8350,14998
WP2332,9021,36306
WP1584,9370,38969
WP5381,2665,12336
WP5366,8968,14997
WP2533,5293,36307
WP1584,122809,38968
WP531,10714,24329
WP5381,23274,12340
WP5381,202500,12341
WP5117,23047,38950
WP4971,9108,24322
WP5304,1593,26985
WP4971,66036,24321
WP5304,4547,26986
WP5293,572,24324
WP5304,335,26983
WP4971,9107,24323
WP5304,6272,26984
WP531,5982,24326
WP619,3456,26989
WP531,5981,24325
WP531,5424,24328
WP550,1312,26987
WP5293,5291,24327
WP619,3106,26988
WP3971,1758,38959
WP5304,350,26981
WP5112,335,26982
WP4971,55613,24320
WP5304,338,26980
WP5381,10296,12344
WP4228,55163,38952
WP5381,79781,12345
WP3878,3315,38951
WP5381,84288,12342
WP5117,23244,38954
WP5381,84895,12343
WP4150,27130,38953
WP5381,90410,12348
WP1584,3651,38956
WP5381,84229,12349
WP5117,23383,38955
WP5381,25852,12346
WP3878,64421,38958
WP5381,85478,12347
WP1584,773,38957
WP363,595,3704
WP399,595,3705
WP363,607,3706
WP399,6416,3707
WP411,6421,3708
WP399,6657,3709
WP399,5601,3700
WP399,5602,3701
WP4483,5732,3702
WP363,5879,3703
WP363,7249,3715
WP399,7471,3716
WP399,7474,3717
WP399,7480,3718
WP334,799,3719
WP4483,6714,3710
WP363,6885,3711
WP399,6885,3712
WP399,7157,3713
WP363,7248,3714
WP2882,873,36391
WP2882,874,36392
WP2882,221223,36393
WP2882,11182,36394
WP2882,54716,36395
WP2882,348932,36396
WP2882,29986,36397
WP2882,91252,36398
WP2882,336,36390
WP4875,9378,3726
WP4875,9379,3727
WP4352,57560,3728
WP4352,80173,3729
WP2882,9152,36399
WP411,8243,3720
WP363,8312,3721
WP399,8312,3722
WP399,894,3723
WP2359,898,3724
WP4875,9369,3725
WP2882,27173,36380
WP2882,154091,36381
WP2882,55630,36382
WP2882,221074,36383
WP2882,159963,36384
WP2882,23657,36385
WP2882,114134,36386
WP2882,125206,36387
WP5293,100506403,24399
WP5095,56477,24398
WP4352,83658,3737
WP5293,890,24391
WP4352,55112,3738
WP5294,207,24390
WP4352,167691,3739
WP531,54107,24393
WP5293,5295,24392
WP5095,1489,24395
WP5180,4851,24394
WP5180,2308,24397
WP5293,2209,24396
WP2882,6529,36388
WP4352,23059,3730
WP2882,115584,36389
WP3941,51567,3731
WP4352,89891,3732
WP4352,112752,3733
WP4352,27241,3734
WP4352,28981,3735
WP4352,583,3736
WP2882,29988,36370
WP2882,8884,36371
WP2882,1559,36372
WP2882,64116,36373
WP2882,283375,36374
WP2882,6524,36375
WP4352,83657,3750
WP2882,25800,36376
WP4352,6990,3748
WP4352,123016,3749
WP4352,55212,3740
WP2882,29985,36377
WP4352,585,3741
WP2882,6518,36378
WP4352,396,3742
WP2882,4259,36379
WP4352,6993,3743
WP4352,3934,3744
WP4352,284086,3745
WP4352,129880,3746
WP4352,54585,3747
WP4483,5733,3760
WP4483,80142,3761
WP399,29127,3759
WP4352,10555,3751
WP4352,9657,3752
WP4352,582,3753
WP4352,80258,3754
WP4352,26146,3755
WP4352,255758,3756
WP4352,92482,3757
WP411,10658,3758
WP4352,4289,3770
WP4352,79018,3771
WP4875,1740,3772
WP428,7474,1110
WP428,595,1107
WP428,5879,1106
WP428,5578,1105
WP428,51384,1104
WP428,4609,1103
WP428,4041,1102
WP428,387,1101
WP428,3725,1100
WP4352,10048,3762
WP4352,10296,3763
WP4352,80344,3764
WP4352,79989,3765
WP4352,90410,3766
WP4352,25852,3767
WP428,7471,1109
WP4352,56912,3768
WP4484,7040,1108
WP4352,64792,3769
WP4352,7431,3780
WP3941,10188,3781
WP4352,5476,3782
WP4352,4171,3783
WP428,4775,1121
WP3929,6093,1120
WP3929,10344,1118
WP3929,2268,1117
WP4484,942,1116
WP4484,941,1115
WP4484,940,1114
WP428,894,1113
WP428,8312,1112
WP428,7480,1111
WP4352,64795,3773
WP4875,50944,3774
WP4352,80232,3775
WP4352,150737,3776
WP411,3182,3777
WP4352,30845,3778
WP4352,80005,3779
WP4815,3074,1119
WP4875,2906,3790
WP4352,9343,3791
WP4352,4172,3792
WP3941,1647,3793
WP4352,5393,3794
WP3929,6367,1132
WP428,5332,1131
WP3929,5332,1130
WP4946,328,1129
WP4946,9978,1128
WP3933,1120,1127
WP3929,1399,1126
WP428,6932,1125
WP4946,7520,1124
WP4946,4292,1123
WP4204,8726,1122
WP4352,23016,3784
WP4352,4175,3785
WP399,6932,3786
WP4352,4174,3787
WP4352,2717,3788
WP4352,4173,3789
WP4946,5395,1143
WP4720,2053,1142
WP4316,54464,1141
WP428,1452,1140
WP4815,411,1139
WP3929,1235,1138
WP3933,56994,1137
WP4830,2737,1136
WP4204,2737,1135
WP4204,2146,1134
WP4204,1021,1133
WP4352,2181,3795
WP4352,9217,3796
WP4352,23019,3797
WP4352,6629,3798
WP4352,25804,3799
WP3929,4283,1154
WP4720,1558,1153
WP428,5330,1152
WP3929,5330,1151
WP3929,6366,1150
WP428,9475,1149
WP3929,9475,1148
WP3933,10400,1147
WP4946,10038,1146
WP4204,6608,1145
WP4718,2181,1144
WP3929,10563,1165
WP4946,7508,1164
WP4946,7518,1163
WP428,83439,1162
WP428,5331,1161
WP3929,5331,1160
WP428,6934,1159
WP428,818,1158
WP4830,9353,1157
WP3933,55500,1156
WP428,51176,1155
WP3933,81490,1176
WP4946,3981,1175
WP4815,2720,1174
WP3929,6373,1173
WP3933,8879,1172
WP3929,5580,1171
WP3929,2921,1170
WP4204,5928,1169
WP3929,58191,1168
WP3933,5130,1167
WP3933,9791,1166
WP5095,90865,24539
WP5293,3845,24538
WP111,126328,12550
WP5152,51647,1187
WP5180,3280,24531
WP428,11211,1186
WP5095,6346,24530
WP3929,6359,1185
WP5095,6696,24533
WP4946,404672,1184
WP5180,51107,24532
WP3933,23761,1183
WP5293,6776,24535
WP3929,10850,1182
WP5293,2322,24534
WP4815,3073,1181
WP5095,2056,24537
WP4720,1579,1180
WP5095,3976,24536
WP2332,3381,36528
WP2332,3572,36529
WP111,4694,12559
WP4204,5727,1179
WP3933,5833,1178
WP3929,3579,1177
WP111,1347,12553
WP2882,54658,36520
WP111,27089,12554
WP2882,2938,36521
WP111,1339,12551
WP2882,2939,36522
WP111,1346,12552
WP2332,10401,36523
WP111,374291,12557
WP2879,10998,36524
WP111,4519,12558
WP2879,1582,36525
WP111,29796,12555
WP2332,2534,36526
WP4558,338376,12556
WP2332,2885,36527
WP4946,4331,1190
WP5294,4846,24549
WP111,4695,12560
WP111,4696,12561
WP3929,108,1198
WP5095,4314,24542
WP4204,51412,1197
WP5180,351,24541
WP3929,998,1196
WP5293,3815,24544
WP4946,5423,1195
WP5180,64798,24543
WP3929,10235,1194
WP5180,23385,24546
WP3929,5590,1193
WP5293,673,24545
WP3929,2773,1192
WP5095,5196,24548
WP4718,10858,1191
WP5095,5473,24547
WP2882,6817,36517
WP2882,5265,36518
WP2882,2946,36519
WP4316,54512,1189
WP5180,2247,24540
WP428,896,1188
WP111,4701,12564
WP111,4702,12565
WP3674,4087,36510
WP111,4698,12562
WP2882,7056,36511
WP111,4700,12563
WP2882,1582,36512
WP111,4707,12568
WP2882,1728,36513
WP111,4708,12569
WP3640,1436,36514
WP111,4704,12566
WP2882,5465,36515
WP111,4705,12567
WP3287,1282,36516
WP4971,5332,24517
WP4971,5331,24516
WP5293,4353,24519
WP5299,10825,24518
WP5095,4049,24511
WP4971,23396,24510
WP5299,3074,24513
WP5299,3073,24512
WP5299,2583,24515
WP4971,5330,24514
WP4558,3448,12539
WP3287,5747,36506
WP3287,4798,36507
WP4558,3446,12537
WP2882,7364,36508
WP4558,3447,12538
WP3657,5728,36509
WP428,23002,1199
WP4558,3439,12531
WP4558,3440,12532
WP2882,3084,36500
WP1589,128,12530
WP3640,3815,36501
WP4558,3443,12535
WP2882,9965,36502
WP4558,3445,12536
WP2882,7048,36503
WP4558,3441,12533
WP2882,6514,36504
WP4558,3442,12534
WP2882,54578,36505
WP5180,1759,24528
WP5095,10148,24527
WP5095,1440,24529
WP5294,4843,24520
WP5095,2920,24522
WP5180,5663,24521
WP5180,23411,24524
WP5294,4842,24523
WP5095,3574,24526
WP5095,5008,24525
WP5381,84612,12548
WP111,10975,12549
WP4558,3452,12542
WP111,4535,12543
WP4558,3449,12540
WP4558,3451,12541
WP5381,2873,12546
WP5381,55502,12547
WP170,6095,12544
WP170,7182,12545
WP5381,9318,12517
WP4584,1723,12518
WP5381,604,12515
WP4584,7372,12516
WP5381,10987,12519
WP5381,51098,12510
WP5342,4656,12513
WP170,7026,12514
WP5381,8533,12511
WP111,292,12512
WP5095,595104,24506
WP5095,100216308,24505
WP4874,4094,24508
WP4874,3383,24507
WP4874,7412,24509
WP5180,7027,24500
WP5095,10850,24502
WP5095,386653,24501
WP5095,6359,24504
WP5095,1270,24503
WP4549,9495,12528
WP4549,2563,12529
WP4549,1915,12526
WP5053,6091,12527
WP5381,10920,12520
WP5381,51138,12521
WP170,2103,12524
WP170,7101,12525
WP5381,50813,12522
WP111,10063,12523
WP4584,50484,12506
WP5381,55081,12507
WP5381,3984,12504
WP5381,8100,12505
WP5381,26160,12508
WP5381,4620,12509
WP5381,1212,12502
WP5381,5584,12503
WP111,9167,12500
WP170,9970,12501
WP3672,7475,36480
WP2882,4780,36481
WP2882,34,36482
WP2882,335,36483
WP2882,7128,36484
WP3657,2322,36485
WP2882,5552,36486
WP5095,6373,24498
WP5095,2921,24497
WP5293,3728,24499
WP5293,6934,24490
WP5293,83439,24492
WP5095,3606,24491
WP5095,58191,24494
WP5095,10563,24493
WP5180,5928,24496
WP5095,8741,24495
WP2882,10257,36487
WP2882,2258,36488
WP3287,1401,36489
WP32,9451,10
WP1006,503552,11
WP1006,282870,12
WP1006,529552,13
WP3287,3162,36470
WP1006,100847677,14
WP2882,5155,36471
WP1006,523780,15
WP2882,6554,36472
WP1006,618939,16
WP3640,2321,36473
WP1029,513730,17
WP2882,11140,36474
WP1018,508646,18
WP2882,6528,36475
WP1011,100138102,19
WP2882,8714,36476
WP2882,9049,36477
WP3640,5159,36478
WP2882,3280,36479
WP1006,617338,20
WP1006,523898,21
WP1006,539048,22
WP111,4513,12490
WP1006,615697,23
WP111,4514,12491
WP1050,282870,24
WP1069,100138102,25
WP2882,5743,36460
WP3247,503552,26
WP170,6097,12494
WP3287,5743,36461
WP994,508646,27
WP111,6341,12495
WP2882,4791,36462
WP1005,508459,28
WP5342,4654,12492
WP2882,9817,36463
WP1013,618076,29
WP111,4697,12493
WP2882,10998,36464
WP5293,5467,24476
WP5095,374,24475
WP5180,7029,24478
WP5180,1452,24477
WP5095,3552,24479
WP5095,3589,24470
WP5095,6367,24472
WP5095,10673,24471
WP5095,6355,24474
WP5180,1021,24473
WP111,7386,12498
WP2882,5243,36465
WP170,8856,12499
WP3640,5243,36466
WP111,6834,12496
WP3672,5243,36467
WP111,7351,12497
WP2882,5705,36468
WP2882,3162,36469
WP1053,503552,30
WP1053,282870,31
WP1025,100138102,32
WP1077,503552,33
WP1077,282870,34
WP1077,529552,35
WP1064,513730,36
WP1077,100847677,37
WP2882,55554,36450
WP1077,618939,38
WP2882,2729,36451
WP1077,617338,39
WP2882,9971,36452
WP2882,3082,36453
WP5095,4283,24487
WP5095,59067,24486
WP5095,3578,24489
WP5293,51176,24488
WP531,5395,24481
WP5155,2053,24480
WP5095,50616,24483
WP5095,6372,24482
WP5095,6366,24485
WP5180,1875,24484
WP3640,9846,36454
WP3287,3909,36455
WP2882,8454,36456
WP2882,6515,36457
WP1077,539048,40
WP2882,57491,36458
WP1077,615697,41
WP2882,8647,36459
WP2901,4313,42
WP2901,4323,43
WP2901,505773,44
WP3141,100138102,45
WP3150,503552,46
WP3191,2475,47
WP3209,503552,48
WP170,6258,12472
WP3209,282870,49
WP5342,84676,12473
WP2533,56994,36440
WP4558,56832,12470
WP2533,5833,36441
WP170,6257,12471
WP2533,10400,36442
WP4874,84557,24454
WP4874,8243,24453
WP5095,4790,24456
WP4874,8878,24455
WP4971,5286,24458
WP4971,5293,24457
WP4971,5288,24459
WP4874,7248,24450
WP4874,814,24452
WP4874,801,24451
WP5381,10980,12476
WP2533,54675,36443
WP5053,4613,12477
WP2533,1120,36444
WP5381,3394,12474
WP2533,8760,36445
WP3197,100138102,50
WP5053,6928,12475
WP2533,9489,36446
WP3198,618076,51
WP2533,150763,36447
WP3226,503552,52
WP2533,55361,36448
WP3226,282870,53
WP4872,6736,12478
WP3657,2120,36449
WP3227,100138102,54
WP5053,7490,12479
WP3234,523898,55
WP3232,100336736,56
WP111,1327,12480
WP3254,503552,57
WP3264,503552,58
WP3248,503552,59
WP111,1340,12483
WP111,1345,12484
WP111,1329,12481
WP2882,1548,36430
WP111,1337,12482
WP2882,160728,36431
